DATE,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,TOTAL,BROK.TIME,OTHER NOTI.,PAY DATE
25-03-2022,AJAHARA ENTERPRISE,SALE,6011 ZZ,FAG,2,460,920,KOHINOOR BRGS,,0,MARCH,,
25-03-2022,AJAHARA ENTERPRISE,SALE,6009 ZZ,FAG,2,280,560,KOHINOOR BRGS,,0,MARCH,,
28-03-2022,AJAHARA ENTERPRISE,7729,,FAG,1,3510,3510,N M SALES AG,,0,MARCH,,
09-04-2021,AJMERA ENTERPRISE,SALE,NURT 15,IKO,6,840,5040,GAUTTAM ENT.,,0,MARCH,,
12-04-2021,AJMERA ENTERPRISE,48,NATB 5905,IKO,20,1050,21000,KOHINOOR BRGS,,822.5,MARCH,,
12-04-2021,AJMERA ENTERPRISE,48,NATB 5906,IKO,50,1225,61250,KOHINOOR BRGS,,0,MARCH,,
27-05-2021,AJMERA ENTERPRISE,SALE,RNFW 7010060,IKO,6,2700,16200,KOHINOOR BRGS,,0,MARCH,,
15-07-2021,AJMERA ENTERPRISE,SALE,NA 4916,IKO,2,1950,3900,GAUTTAM ENT.,,0,MARCH,,
16-07-2021,AJMERA ENTERPRISE,SALE,NUTR 15,IKO,6,825,4950,GAUTTAM ENT.,,0,MARCH,,
19-07-2021,AJMERA ENTERPRISE,SALE,RNAST 6,IKO,6,300,1800,GAUTTAM ENT.,,0,MARCH,,
19-07-2021,AJMERA ENTERPRISE,SALE,RNAST 8,INA,6,300,1800,GAUTTAM ENT.,,0,MARCH,,
02-08-2021,AJMERA ENTERPRISE,SALE,BA 24/16,IKO,16,160,2560,GAUTTAM ENT.,,0,MARCH,,
03-08-2021,AJMERA ENTERPRISE,SALE,NURT 15,IKO,4,850,3400,GAUTTAM ENT.,,0,MARCH,,
24-08-2021,AJMERA ENTERPRISE,SALE,CF 20-1 BUU,IKO,6,985,5910,GAUTTAM ENT.,,0,MARCH,,
07-09-2021,AJMERA ENTERPRISE,SALE,PHS 20,PHS,2,925,1850,GAUTTAM ENT.,,0,MARCH,,
25-09-2021,AJMERA ENTERPRISE,SALE,BA 24/16 ZOH,IKO,20,170,3400,GAUTTAM ENT.,,0,MARCH,,
25-09-2021,AJMERA ENTERPRISE,SALE,PHS 18,IKO,4,775,3100,GAUTTAM ENT.,,0,MARCH,,
27-09-2021,AJMERA ENTERPRISE,SALE,NURT 25-1,IKO,12,1335,16020,GAUTTAM ENT.,,0,MARCH,,
12-11-2021,AJMERA ENTERPRISE,SALE,NK 12/16,IKO,2,240,480,GAUTTAM ENT.,,0,MARCH,,
21-12-2021,AJMERA ENTERPRISE,SALE,TRI 304830,IKO,6,1200,7200,GAUTTAM ENT.,50,300,MARCH,,
15-02-2022,AJMERA ENTERPRISE,1678,RNA 4919,IKO,4,2900,11600,KOHINOOR BRGS,,0,MARCH,,
22-02-2022,AJMERA ENTERPRISE,SALE,81211,IKO,2,2250,4500,GAUTTAM ENT.,,0,MARCH,,
26-02-2022,AJMERA ENTERPRISE,SALE,NATV 30 VV,IKO,6,1100,6600,GAUTTAM ENT.,,0,MARCH,,
04-03-2022,AJMERA ENTERPRISE,SALE,BA 24/16,IKO,20,175,3500,GAUTTAM ENT.,,0,MARCH,,
05-03-2022,AJMERA ENTERPRISE,SALE,NAS 5010 UUNR,IKO,1,3800,3800,GAUTTAM ENT.,,0,MARCH,,
07-03-2022,AJMERA ENTERPRISE,SALE,BA 24/16,IKO,20,175,3500,GAUTTAM ENT.,,0,MARCH,,
06-10-2021,AKSHAT ENTERPRISE,X,30207,JEC,25,125,3125,KOHINOOR BRGS,10,250,MARCH,,
06-10-2021,AKSHAT ENTERPRISE,X,32209,JEC,6,174,1044,KOHINOOR BRGS,10,60,MARCH,,
06-10-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,40,125,5000,KOHINOOR BRGS,10,400,MARCH,,
06-10-2021,AKSHAT ENTERPRISE,X,603049/11,JEC,25,140,3500,KOHINOOR BRGS,10,250,MARCH,,
09-10-2021,AKSHAT ENTERPRISE,SALE,22209,JEC,4,240,960,KOHINOOR BRGS,30,120,MARCH,,
09-10-2021,AKSHAT ENTERPRISE,x,32207,JEC,20,135,2700,KOHINOOR BRGS,15,300,MARCH,,
13-10-2021,AKSHAT ENTERPRISE,SALE,22209,JEC,4,240,960,KOHINOOR BRGS,30,120,MARCH,,
21-10-2021,AKSHAT ENTERPRISE,X,30209,JEC,30,150,4500,KOHINOOR BRGS,10,300,MARCH,,
21-10-2021,AKSHAT ENTERPRISE,X,32207,JEC,20,135,2700,KOHINOOR BRGS,15,300,MARCH,,
21-10-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,29,125,3625,KOHINOOR BRGS,10,290,MARCH,,
26-10-2021,AKSHAT ENTERPRISE,SALE,30209,JEC,30,136,4080,N M SALES AG,9,270,MARCH,,
11-11-2021,AKSHAT ENTERPRISE,SALE,32310,JEC,6,385,2310,KOHINOOR BRGS,40,240,MARCH,,
16-11-2021,AKSHAT ENTERPRISE,X,30209,JEC,25,145,3625,KOHINOOR BRGS,10,250,MARCH,,
17-11-2021,AKSHAT ENTERPRISE,SALE,30209,JEC,33,135,4455,N M SALES AG,10,330,MARCH,,
19-11-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,15,125,1875,KOHINOOR BRGS,10,150,MARCH,,
23-11-2021,AKSHAT ENTERPRISE,SALE,30209,JEC,20,145,2900,N M SALES AG,9,180,MARCH,,
25-12-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,40,125,5000,KOHINOOR BRGS,10,400,MARCH,,
27-12-2021,AKSHAT ENTERPRISE,X,30207,JEC,10,125,1250,KOHINOOR BRGS,8,80,MARCH,,
27-12-2021,AKSHAT ENTERPRISE,X,32207,JEC,10,140,1400,KOHINOOR BRGS,10,100,MARCH,,
27-12-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,10,125,1250,KOHINOOR BRGS,10,100,MARCH,,
28-12-2021,AKSHAT ENTERPRISE,X,30209,JEC,30,145,4350,KOHINOOR BRGS,10,300,MARCH,,
28-12-2021,AKSHAT ENTERPRISE,X,0-12,GEM,22,71.06,1563.32,KOHINOOR BRGS,7.48,164.56,MARCH,,
28-12-2021,AKSHAT ENTERPRISE,X,0-8,GEM,20,47.5,950,KOHINOOR BRGS,2.5,50,MARCH,,
28-12-2021,AKSHAT ENTERPRISE,X,501349/10,JEC,10,125,1250,KOHINOOR BRGS,10,100,MARCH,,
31-12-2021,AKSHAT ENTERPRISE,SALE,30209,JEC,20,135,2700,N M SALES AG,10,200,MARCH,,
07-01-2022,AKSHAT ENTERPRISE,X,501349/10,JEC,15,125,1875,KOHINOOR BRGS,10,150,MARCH,,
07-01-2022,AKSHAT ENTERPRISE,X,603049/10,JEC,20,140,2800,KOHINOOR BRGS,10,200,MARCH,,
13-01-2022,AKSHAT ENTERPRISE,SALE,30209,JEC,20,135,2700,N M SALES AG,10,200,MARCH,,
28-01-2022,AKSHAT ENTERPRISE,SALE,30209,jec,60,135,8100,N M SALES AG,10,600,MARCH,,
03-02-2022,AKSHAT ENTERPRISE,X,30209,jec,25,145,3625,KOHINOOR BRGS,10,250,MARCH,,
03-02-2022,AKSHAT ENTERPRISE,X,501349/10,jec,20,125,2500,KOHINOOR BRGS,10,200,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,30207,JEC,20,125,2500,KOHINOOR BRGS,8,160,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,30209,JEC,50,145,7250,KOHINOOR BRGS,10,500,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,30310,JEC,3,340,1020,KOHINOOR BRGS,25,75,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,32211,JEC,6,205,1230,KOHINOOR BRGS,10,60,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,0-12,GEM,22,71.06,1563.32,KOHINOOR BRGS,7.48,164.56,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,501349/10,JEC,50,125,6250,KOHINOOR BRGS,10,500,MARCH,,
04-03-2022,AKSHAT ENTERPRISE,X,0-22,KKK,6,194.56,1167.36,KOHINOOR BRGS,20,120,MARCH,,
09-03-2022,AKSHAT ENTERPRISE,x,603049/11,JEC,30,140,4200,KOHINOOR BRGS,10,300,MARCH,,
10-03-2022,AKSHAT ENTERPRISE,X,30209,JEC,40,145,5800,KOHINOOR BRGS,10,400,MARCH,,
10-03-2022,AKSHAT ENTERPRISE,X,501349/10,JEC,10,125,1250,KOHINOOR BRGS,10,100,MARCH,,
11-03-2022,AKSHAT ENTERPRISE,X,501349/10,JEC,30,125,3750,KOHINOOR BRGS,10,300,MARCH,,
16-03-2022,AKSHAT ENTERPRISE,X,32207,JEC,15,140,2100,KOHINOOR BRGS,10,150,MARCH,,
17-03-2022,AKSHAT ENTERPRISE,X,32206,JEC,15,125,1875,KOHINOOR BRGS,10,150,MARCH,,
17-03-2022,AKSHAT ENTERPRISE,X,32207,JEC,10,140,1400,KOHINOOR BRGS,10,100,MARCH,,
17-03-2022,AKSHAT ENTERPRISE,X,32310,JEC,6,390,2340,KOHINOOR BRGS,30,180,MARCH,,
24-03-2022,AKSHAT ENTERPRISE,X,48548/10,JEC,10,125,1250,KOHINOOR BRGS,10,100,MARCH,,
24-03-2022,AKSHAT ENTERPRISE,X,501349/10,JEC,30,140,4200,KOHINOOR BRGS,10,300,MARCH,,
31-05-2021,AMPLE BEARING,RECD,NKI 32/20,IKO,26,485,12610,KOHINOOR BRGS,,0,MARCH,,
15-06-2021,AMPLE BEARING,490,NKI 32/20,IKO,30,485,14550,KOHINOOR BRGS,,0,MARCH,,
07-08-2021,AMPLE BEARING,SALE,NURT 15,IKO,2,850,1700,GAUTTAM ENT.,,0,MARCH,,
17-09-2021,AMPLE BEARING,SALE,NART 12 VUUR,IKO,18,575,10350,GAUTTAM ENT.,,0,MARCH,,
13-10-2021,AMPLE BEARING,SALE,LM 25 UU,IKO,3,700,2100,KOHINOOR BRGS,,0,MARCH,,
09-12-2021,AMPLE BEARING,SALE,CF 5 B,IKO,10,325,3250,GAUTTAM ENT.,,0,MARCH,,
07-04-2021,ANIL TRADING CO,SALE,51106,FAG,20,300,6000,GAUTTAM ENT.,,0,MARCH,,
07-04-2021,ANIL TRADING CO,SALE,51207,FAG,10,500,5000,GAUTTAM ENT.,,0,MARCH,,
14-04-2021,ANIL TRADING CO,SALE,1312,FAG,2,2950,5900,HARSH SALES CORP,,0,MARCH,,
27-05-2021,ANIL TRADING CO,SALE,63003 2RS,FAG,6,400,2400,KOHINOOR BRGS,,0,MARCH,,
01-06-2021,ANIL TRADING CO,351,2312 C 3,FAG,1,4600,4600,KOHINOOR BRGS,,0,MARCH,,
21-06-2021,ANIL TRADING CO,559,NUP 308,FAG,2,2800,5600,KOHINOOR BRGS,,0,MARCH,,
24-06-2021,ANIL TRADING CO,617,,FAG,1,56724,56724,KOHINOOR BRGS,,0,MARCH,,
25-06-2021,ANIL TRADING CO,625,,FAG,1,30766,30766,KOHINOOR BRGS,,0,MARCH,,
03-08-2021,ANIL TRADING CO,1028,UCFT 208,FAG,8,1314,10512,KOHINOOR BRGS,,0,MARCH,,
02-09-2021,ANIL TRADING CO,1370,UCT 208,FAG,4,1366.56,5466.24,KOHINOOR BRGS,,0,MARCH,,
09-09-2021,ANIL TRADING CO,1646,UCT 208,FAG,8,1366.56,10932.48,KOHINOOR BRGS,,0,MARCH,,
20-10-2021,ANIL TRADING CO,SALE,UCT 208,FAG,4,1451.84,5807.36,VISHAL RG.CORP,,0,MARCH,,
15-01-2022,ANIL TRADING CO,SALE,2316 M,FAG,2,13500,27000,HARSH SALES CORP,,0,MARCH,,
03-02-2022,ANIL TRADING CO,SALE,UCF 208,FAG,4,1029.84,4119.36,KOHINOOR BRGS,,0,MARCH,,
30-03-2022,ANIL TRADING CO,SALE,NUP 304,FAG,8,1450,11600,KOHINOOR BRGS,,0,MARCH,,
06-05-2021,ANUPAM MKT. P LTD,SALE,2202 E 2RS TN9,SKF,20,1478.03,29560.6,R K ENT.,24.23,484.6,MARCH,,
19-05-2021,ANUPAM MKT. P LTD,SALE,UCP 210,SKF,4,1222.71,4890.84,KOHINOOR BRGS,,0,MARCH,,
24-05-2021,ANUPAM MKT. P LTD,729,LGHP 2.04,SKF,62,611.32,37901.84,KOHINOOR BRGS,,0,MARCH,,
24-05-2021,ANUPAM MKT. P LTD,729,UCP 211,SKF,4,1594.77,6379.08,KOHINOOR BRGS,,0,MARCH,,
07-06-2021,ANUPAM MKT. P LTD,SALE,953,SKF,1,21121.03,21121.03,KOHINOOR BRGS,,0,MARCH,,
09-09-2021,ANUPAM MKT. P LTD,3041,PILOW,SKF,1,22803.78,22803.78,KOHINOOR BRGS,,0,MARCH,,
11-09-2021,ANUPAM MKT. P LTD,SALE,UCFL 205,SKF,2,605.73,1211.46,KOHINOOR BRGS,,0,MARCH,,
11-09-2021,ANUPAM MKT. P LTD,SALE,UCP 209,SKF,2,1421.99,2843.98,KOHINOOR BRGS,,0,MARCH,,
30-11-2021,ANUPAM MKT. P LTD,4926,UCP 208,SKF,10,967.25,9672.5,KOHINOOR BRGS,,0,MARCH,,
16-12-2021,ANUPAM MKT. P LTD,SALE,ucp 204,SKF,2,544.31,1088.62,GAUTTAM ENT.,,0,MARCH,,
16-12-2021,ANUPAM MKT. P LTD,SALE,ucp 210,SKF,2,1345.14,2690.28,GAUTTAM ENT.,,0,MARCH,,
16-12-2021,ANUPAM MKT. P LTD,SALE,ucf 210,SKF,2,1345.14,2690.28,GAUTTAM ENT.,,0,MARCH,,
16-12-2021,ANUPAM MKT. P LTD,SALE,ucp 209,SKF,2,1181.37,2362.74,GAUTTAM ENT.,,0,MARCH,,
21-12-2021,ANUPAM MKT. P LTD,SALE,UCF 206,SKF,8,795.53,6364.24,GAUTTAM ENT.,,0,MARCH,,
01-01-2022,ANUPAM MKT. P LTD,SALE,ucf 210,SKF,4,1370.52,5482.08,KOHINOOR BRGS,,0,MARCH,,
25-01-2022,ANUPAM MKT. P LTD,6161,UCF 206,SKF,30,795.53,23865.9,N M SALES AG,,0,MARCH,,
