DATE,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL
19-07-2021,SALE,62200 2RS,JAF,2,300,600,KOHINOOR BRGS,0,0
27-07-2021,SALE,NJ 2210,NTN,4,1575,6300,GAUTTAM ENT.,0,0
28-07-2021,SALE,6900 ZZ,EZO,20,100,2000,GAUTTAM ENT.,0,0
02-08-2021,X,638 ZZ,EZO,12,125,1500,KOHINOOR BRGS,0,0
12-08-2021,SALE,6900 2RS,EZO,20,100,2000,KOHINOOR BRGS,0,0
13-08-2021,SALE,EE5,EZO,10,85,850,GAUTTAM ENT.,0,0
13-08-2021,SALE,EE 6,EZO,10,115,1150,GAUTTAM ENT.,0,0
07-09-2021,X,RLS 6 2RS,JAF,4,225,900,KOHINOOR BRGS,0,0
15-09-2021,SALE,62309 2RS,JAF,4,1400,5600,KOHINOOR BRGS,0,0
25-09-2021,SALE,6900 ZZ,EZO,10,100,1000,GAUTTAM ENT.,0,0
25-09-2021,SALE,6909 ZZ,NTN,3,325,975,GAUTTAM ENT.,0,0
25-09-2021,SALE,6804 ZZ,NTN,2,225,450,GAUTTAM ENT.,0,0
01-10-2021,X,RL 6,JAF,2,500,1000,KOHINOOR BRGS,0,0
09-10-2021,SALE,6900 ZZ SS,EZO,4,475,1900,GAUTTAM ENT.,0,0
09-10-2021,SALE,6902 ZZ SS,EZO,4,375,1500,GAUTTAM ENT.,0,0
09-10-2021,SALE,6200 ZZ SS,EZO,4,325,1300,GAUTTAM ENT.,0,0
09-10-2021,X,RLS 5,JAF,4,200,800,GAUTTAM ENT.,0,0
16-10-2021,X,51205  SS,BTM,1,450,450,KOHINOOR BRGS,0,0
19-10-2021,SALE,6800 QRS,EZO,20,100,2000,KOHINOOR BRGS,0,0
19-10-2021,SALE,6900 2RS,EZO,20,100,2000,KOHINOOR BRGS,0,0
20-10-2021,SALE, SS 6005 ZZ,BMT,6,140,840,KOHINOOR BRGS,0,0
