,,,,PURCHASE 2020-21,,,,,,,,,,
,,,,,,,,,,,,,,
DATE ,PARTY NAME,BILL,ITEM,MAKE,QTY,RATE,TOTAL,PARTY,EX RATE,EX TOTAL,REMARKS,BROK.TIME,OTHER NOTI.,PAY DATE
20-05-2020,SMITH INTERNATIONAL,SALE,6208 ZZ,ZVL,4,250,0,M/S KUNJAN TRA.CORP,,0,,RECD,,
23-05-2020,SMITH INTERNATIONAL,SALE,2213,zkl,4,1500,0,M/S KUNJAN TRA.CORP,,0,,RECD,,
26-05-2020,Aabhay-prakash,SALE,6209 zz,CIU,100,110,0,GAUTTAM ENT.,,0,,RECD,,
26-05-2020,ATUL CORP,SALE,NJ 1312 C3,FAG,2,4902,0,GAUTTAM ENT.,,0,,RECD,,
28-05-2020,MAHAVIR TRADING CORP,146,HM 44/h2315,MTC,1,2825.4,2825.4,KOHINOOR BEARING,,0,,OCT,,
28-05-2020,SANJAY ORIENT,RECD,22315 K,SKF,2,8200,0,KOHINOOR BEARING,100,0,,RECD,,*
02-06-2020,A V INTERNATIONAL,SALE,2315,ZKL,2,3150,0,M/S KUNJAN TRA.CORP,150,0,,RECD,,
02-06-2020,POLITE ENTERPRISE,SALE,UCP 214,CHINA,4,825,0,M/S KUNJAN TRA.CORP,,0,,RECD,,
05-06-2020,ATUL-HARESH,SALE,HK 14/16,SLM,100,14,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,ATUL-HARESH,SALE,LMF 25,SLM,15,225,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,ATUL-HARESH,SALE,LMF 40,SLM,10,525,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,ATUL-HARESH,SALE,LMK 20,SLM,15,175,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,ATUL-HARESH,SALE,LMK 25,SLM,15,250,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,KUDAN IND. PORD.& SERVICE,SALE,6316,SKF,1,4004.33,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,M/S ORIENT TRADERS,RECD,6217,SKF,1,2661,0,KOHINOOR BEARING,47,0,,RECD,,
05-06-2020,M/S ORIENT TRADERS,RECD,22224 E,SKF,1,12000,0,KOHINOOR BEARING,250,0,,RECD,,
05-06-2020,M/S ORIENT TRADERS,RECD,NU 2219ECP C3,SKF,1,11239,0,KOHINOOR BEARING,408,0,,RECD,,
05-06-2020,PARESH BEARING CORP,SALE,30205,FKRS,20,77,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCP 206,KHK,10,360,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCF 207,CHINA,4,210,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCF 208,CHINA,4,250,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCF 209,CHINA,4,275,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCF 210,CHINA,4,335,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,POLITE ENTERPRISE,SALE,UCP 209,CHINA,4,275,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,R P IMPEX,SALE,3311,SKF,1,6749,0,GAUTTAM ENT.,,0,,RECD,,
05-06-2020,R P IMPEX,SALE,6316,SKF,1,4072.2,0,GAUTTAM ENT.,,0,,RECD,,
06-06-2020,MARUTI,SALE,ZKLN 2052,CHINA,1,3200,0,GAUTTAM ENT.,,0,,RECD,,
06-06-2020,NILESH BEARINGs-hitesh,SALE,6316,SKF,2,3936.46,0,GAUTTAM ENT.,,0,,RECD,,
06-06-2020,NILESH BEARINGs-hitesh,SALE,6320 C3,SKF,1,8873.15,0,GAUTTAM ENT.,,0,,RECD,,
06-06-2020,SHREE ARIHANT IMP/TEJAS,SALE,29326 E,SKF,1,34087.5,0,GAUTTAM ENT.,1363,0,,RECD,,
08-06-2020,APARNA TRADING CO,8482,22216,NBC,6,2908.71,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,CIRCLIP ENGGINERS,SALE,A 20,CIRCLIP,270,,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,CIRCLIP ENGGINERS,SALE,A 30,CIRCLIP,20,,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,CIRCLIP ENGGINERS,SALE,B 52,CIRCLIP,20,,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,H D ENTER.,SALE,UCT 205,DEV,10,160,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,MUKUND BEARING,16,22216,NBC,2,2755.62,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,MUKUND BEARING,16,6205 ZZ,NBC,40,153.36,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,MUKUND BEARING,16,6206 ZZ,NBC,20,196.56,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,N K BEARING-AJAY,13,6204 2RS,DETEC,220,20,0,KOHINOOR BEARING,,0,,RECD,,
08-06-2020,POLITE ENTERPRISE,94,UCF 204,CHINA,5,100,0,KOHINOOR BEARING,10,0,,RECD,,
08-06-2020,POLITE ENTERPRISE,SALE,UCF 207,CHINA,25,210,0,HARSH SALES CORP.,,0,,RECD,,
08-06-2020,POLITE ENTERPRISE,94,UCFL 206 ,CHINA,4,160,0,KOHINOOR BEARING,5,0,,RECD,,
08-06-2020,POLITE ENTERPRISE,94,UCP 204,CHINA,12,110,0,KOHINOOR BEARING,5,0,,RECD,,
08-06-2020,POLITE ENTERPRISE,94,UCP 208,CHINA,6,250,0,KOHINOOR BEARING,5,0,,RECD,,
08-06-2020,SANJAY ORIENT,RECD,4203,SKF,4,967,0,KOHINOOR BEARING,,0,,RECD,,*
08-06-2020,SATISH TRADING CO,X,51306,IZK+,10,110,0,KOHINOOR BEARING,5,0,M,RECD,,08-06-2020
08-06-2020,SUNIL BHUTTA,SALE,N 203,BTC,26,400,0,GAUTTAM ENT.,,0,,RECD,,
09-06-2020,BMT CORP,47,NATB 5906,IKO,18,1200,0,KOHINOOR BEARING,50,0,,RECD,,
09-06-2020,H D ENTER.,SALE,UCF 206,DEV,2,185,0,VIRAJ ENT,,0,,RECD,,
09-06-2020,H D ENTER.,SALE,UCFC 207,DEV,2,300,0,VIRAJ ENT,,0,,RECD,,
09-06-2020,H D ENTER.,SALE,UCT 206,DEV,2,225,0,VIRAJ ENT,,0,,RECD,,
09-06-2020,H D ENTER.,SALE,UCT 207,DEV,2,300,0,VIRAJ ENT,,0,,RECD,,
09-06-2020,JMC TRADE CETRE,95,SN 511,JMC,4,535,0,KOHINOOR BEARING,,0,,RECD,,
09-06-2020,MARUTI,SALE,BA 24/16,IKO,20,160,0,GAUTTAM ENT.,,0,,RECD,,
09-06-2020,MAHAVIR TRADING CORP,1119,HM 44,MTC,1,1277,1277,KOHINOOR BEARING,,0,,OCT,,
09-06-2020,MAHAVIR TRADING CORP,SALE,KM 8,MTC,160,31,4960,NMSA,,0,,OCT,,
10-06-2020,AKSHAT ENTER.,102,30209,JEC,100,110,0,NMSA,13,0,,RECD,,
10-06-2020,AKSHAT ENTER.,X,32208,JEC,6,125,0,KOHINOOR BEARING,10,0,,RECD,,
10-06-2020,AKSHAT ENTER.,X,501349/10,JEC,20,124,0,KOHINOOR BEARING,13,0,,RECD,,
10-06-2020,DEEPAK C J,SALE,6806 ZZ,NTN,1,225,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,DEEPAK C J,SALE,6816 ZZ,NTN,2,1400,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,DEEPAK C J,SALE,6906 ZZ,NTN,6,200,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,DEEPAK C J,SALE,697 ZZ,NTN,3,230,0,GAUTTAM ENT.,,0,,RECD,,
10-06-2020,MILL STORE CORP,SALE,LGHP 2/1,SKF,5,1341.06,6705.3,GAUTTAM ENT.,,0,,MARCH,,
10-06-2020,POLITE ENTERPRISE,SALE,UCP 206 1 1/2,CHINA,6,250,0,GAUTTAM ENT.,,0,,RECD,,
